data__id,data__text,data__lang,data__created_at,author__username,data__author_id,data__conversation_id,data__public_metrics__retweet_count,data__public_metrics__reply_count,data__public_metrics__like_count,data__public_metrics__quote_count,data__reply_settings,data__possibly_sensitive,data__source,data__geo__place_id,data__referenced_tweets__type,data__referenced_tweets__id,data__in_reply_to_user_id,data__entities__hashtags__start,data__entities__hashtags__end,data__entities__hashtags__tag,data__entities__mentions__start,data__entities__mentions__end,data__entities__mentions__username,data__entities__mentions__username,data__entities__mentions__id,data__entities__urls__start,data__entities__urls__end,data__entities__urls__url,data__entities__urls__expanded_url,data__entities__urls__display_url,data__entities__urls__status,data__entities__urls__unwound_url,data__context_annotations__|,data__context_annotations__|__id,data__context_annotations__|__name,data__context_annotations__|__description,data__attachments__media_keys__001,data__attachments__media_keys__002,data__attachments__media_keys__003,data__attachments__media_keys__004,meta__newest_id,meta__oldest_id,meta__result_count
953164618058420224,"RT @SudRadio: "" @EmmanuelMacron va à #Calais pour faire de la com'"" #Immigration @emmanuelmaurel #SudRadioMatin #MaurelSudRadio",fr,2018-01-16T07:18:48.000Z,@Gauche_RS,819682788,953164618058420224,4,0,0,0,everyone,False,,,retweeted,953156471629467648,,37,44,Calais,3,12,SudRadio,SudRadio,15658101,,,,,,,,domain,10,Person,Named people in the world like Nelson Mandela,,,,,,,
,,,,,,,,,,,,,,,,,,68,80,Immigration,16,31,EmmanuelMacron,EmmanuelMacron,1976143068,,,,,,,,entity,822153632002904064,Emmanuel Macron,Emmanuel Macron,,,,,,,
,,,,,,,,,,,,,,,,,,97,111,SudRadioMatin,81,96,emmanuelmaurel,emmanuelmaurel,66691158,,,,,,,,domain,35,Politician,"Politicians in the world, like Joe Biden",,,,,,,
,,,,,,,,,,,,,,,,,,112,127,MaurelSudRadio,,,,,,,,,,,,,entity,822153632002904064,Emmanuel Macron,Emmanuel Macron,,,,,,,
953164594935226368,"RT @SudRadio: ""\"" Incontestablement la circulaire #Collomb a suscité un émoi légitime. Elle vise à remettre en cause le caractère inconditionnel d’accueil des centres d’hébergement\"" #calais #Immigration @emmanuelmaurel #SudRadioMatin #MaurelSudRadio",fr,2018-01-16T07:18:43.000Z,@Gauche_RS,819682788,953164594935226368,6,0,0,0,everyone,False,,,retweeted,953156384199233537,,48,56,Collomb,3,12,SudRadio,SudRadio,15658101,,,,,,,,,,,,,,,,,,
953164573703655424,"RT @SebLombard: #avecmaurel  #congresPS  @emmanuelmaurel \""On multiplie à chaque quinquennat les lois sur l'immigration sans efficacité. les français sont ambivalents sur ce sujet, ils demandent fermeté mais font preuve de solidarité lorsque l'injustice est là\"" @sudradio",fr,2018-01-16T07:18:37.000Z,@Gauche_RS,819682788,953164573703655424,5,0,0,0,everyone,False,,,retweeted,953161691830849536,,16,27,avecmaurel,3,14,SebLombard,SebLombard,262216680,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,29,39,congresPS,41,56,emmanuelmaurel,emmanuelmaurel,66691158,,,,,,,,,,,,,,,,,,
953164470179782656,"RT @lacarottedu44: #avecmaurel  #congresPS concernant l'immigration il faut travailler sur les causes : l'aide au dvp, la lutte contre les passeurs, et contre le réchauffement climatique",fr,2018-01-16T07:18:13.000Z,@Gauche_RS,819682788,953164470179782656,6,0,0,0,everyone,False,,,retweeted,953157154634190848,,19,30,avecmaurel,3,17,lacarottedu44,lacarottedu44,1277890471,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32,42,congresPS,,,,,,,,,,,,,,,,,,,,,,,
953164456476991488,"RT @lacarottedu44: #avecmaurel  #congresPS le droit d'asile c est complexe, ça met effectivement du temps mais là où les migrants ont été accueilli, dans les villes en majorité celà se passe très bien",fr,2018-01-16T07:18:10.000Z,@Gauche_RS,819682788,953164456476991488,2,0,0,0,everyone,False,,,retweeted,953157046664384512,,19,30,avecmaurel,3,17,lacarottedu44,lacarottedu44,1277890471,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32,42,congresPS,,,,,,,,,,,,,,,,,,,,,,,
953164443709526016,"RT @lacarottedu44: #avecmaurel  #congresPS  On multiplie à chaque quinquennat les lois sur l'immigration sans efficacité. les français sont ambivalents sur ce sujet, ils demandent fermeté mais font preuve de solidarité lorsque l'injustice est là",fr,2018-01-16T07:18:06.000Z,@Gauche_RS,819682788,953164443709526016,2,0,0,0,everyone,False,,,retweeted,953156841185464322,,19,30,avecmaurel,3,17,lacarottedu44,lacarottedu44,1277890471,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32,42,congresPS,,,,,,,,,,,,,,,,,,,,,,,
953164430195548161,"RT @lacarottedu44: #avecmaurel  #congresPS le projet de loi immigration est critiqué dans la majorité, il durcit les conditions pour l'accès à l'asile",fr,2018-01-16T07:18:03.000Z,@Gauche_RS,819682788,953164430195548161,2,0,0,0,everyone,False,,,retweeted,953156527757643777,,19,30,avecmaurel,3,17,lacarottedu44,lacarottedu44,1277890471,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,32,42,congresPS,,,,,,,,,,,,,,,,,,,,,,,
952107009515708416,"RT @lacarottedu44: #AvecMaurel #CongresPS le projet de loi sur l immigration va compliquer la vie des demandeurs d'asile, un durcissement de la rétention administrative. le contexte est inquiétant suite à la remise en cause de l'inconditionnalité de l'accueil des CADA",fr,2018-01-13T09:16:15.000Z,@Gauche_RS,819682788,952107009515708416,3,0,0,0,everyone,False,,,retweeted,952080518274830336,,19,30,AvecMaurel,3,17,lacarottedu44,lacarottedu44,1277890471,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,31,41,CongresPS,,,,,,,,,,,,,,,,,,,,,,,
